County + State,Total number of voters,Result,% bachelor's degree 2014-18,Population Change 2010-2019,Percent in Poverty,Estimate Median Household Income,Known Number of Cases per 100k
"Snohomish,WA","398,688",39,31.9,1.14896,7.5,"87,096","1,459.90"
"El Paso,CO","324,309",55,37.9,1.14891,9.9,"67,923","2,831.90"
"Thurston,WA","136,782",39,35.7,1.14836,8.7,"72,400",841.2
"Reagan,TX","1,124",85,10.6,1.14793,10,"65,273","4,027.00"
"Harris,TX","1,633,557",44,31,1.14745,16.5,"60,241","3,765.20"
"Union,GA","15,579",82,22.4,1.14698,13.8,"45,943","4,136.90"
"Greene,GA","11,237",64,25.8,1.14697,19.3,"54,016","3,383.50"
"Rains,TX","6,044",86,11.7,1.14671,14.5,"47,572","1,134.70"
"Franklin,NC","37,079",57,21.3,1.14548,12.7,"57,710","2,532.80"
"Caldwell,TX","14,775",55,14.8,1.14523,14.1,"52,588","4,127.00"
"Clay,FL","124,331",69,24.1,1.14521,8.8,"62,835","3,275.20"
"Clark,WA","234,177",46,29.8,1.14421,8.8,"73,971","1,384.60"
"Henry,GA","122,529",40,28.3,1.14398,7.5,"72,970","3,023.90"
"Glasscock,TX",653,94,23.2,1.14367,9.7,"83,330","2,058.20"
"DeSoto,MS","61,689",62,24.1,1.14320,9,"68,126","4,991.80"
"Chaffee,CO","13,620",47,33.5,1.14308,10.9,"56,168","2,544.70"
"Towns,GA","7,968",81,26.2,1.14257,16,"45,853","4,320.00"
"Flathead,MT","60,132",65,29.9,1.14243,11.2,"54,382","5,286.80"
"Arapahoe,CO","343,706",38,42.2,1.14240,8.1,"76,665","3,381.10"
"Gunnison,CO","10,887",35,55.3,1.14198,10.4,"61,268","2,451.00"
"Scott,MN","87,663",54,39.3,1.14181,5.2,"101,427","4,496.90"
"Sarasota,FL","270,656",55,34.7,1.14164,10.3,"61,652","2,744.70"
"Logan,OK","21,558",74,27.6,1.14160,10.4,"69,114","2,445.30"
"Hunt,TX","38,517",77,19.3,1.14160,13.6,"53,360","2,550.90"
"Gilpin,CO","4,143",46,38.7,1.14111,6.7,"72,949","1,169.30"
"Craighead,AR","38,364",68,26.3,1.14041,17.9,"45,615","5,727.30"
"Polk,OR","47,279",51,30.1,1.13963,12.7,"62,389","1,116.30"
"Jefferson,ID","14,171",87,22.6,1.13911,9.1,"61,927","4,516.10"
"Berkeley,WV","49,146",67,21,1.13907,11.5,"59,619","2,047.50"
"Greenlee,AZ","3,053",65,11.9,1.13899,10.5,"65,818","1,537.20"
"Moore,NC","57,771",64,36.9,1.13868,10.5,"59,471","2,630.80"
"Jefferson,OR","11,666",62,18.4,1.13836,16,"50,376","2,992.90"
"Christian,MO","46,904",76,28.2,1.13815,8.6,"58,057","3,815.10"
"Placer,CA","159,307",48,38.6,1.13801,7.1,"89,175","1,391.60"
"Iredell,NC","101,276",67,27.5,1.13787,9.5,"60,044","2,635.80"
"Pierce,WA","403,586",44,26.4,1.13778,8.7,"75,022","1,537.30"
"Atascosa,TX","18,085",67,13.3,1.13762,15.7,"50,594","2,768.20"
"Morton,ND","16,603",75,26.3,1.13761,8.1,"68,043","11,557.80"
"Whatcom,WA","135,388",38,33.9,1.13745,14.9,"62,262",865
"Bonneville,ID","53,995",72,30.1,1.13744,10.6,"60,444","5,471.90"
"Saline,AR","56,903",71,26.1,1.13730,9.7,"63,677","3,343.80"
"Frederick,VA","46,918",65,28.1,1.13702,7,"77,684","1,907.90"
"Blanco,TX","7,419",74,27.1,1.13650,10.1,"64,832","1,458.40"
"Randall,TX","69,973",83,32,1.13644,8.5,"69,600","6,417.00"
"Minnehaha,SD","92,321",55,31.9,1.13638,9.6,"60,033","9,326.70"
"Lafayette,MS","17,163",59,43.9,1.13562,18,"49,381","5,494.40"
"Hall,GA","90,424",72,24,1.13558,13.2,"61,631","5,739.10"
"Sterling,TX",639,91.5,15.9,1.13544,12.6,"59,064","2,323.80"
"Lake,SD","5,873",64,32.9,1.13459,10.2,"60,733","5,821.70"
"Lexington,SC","144,237",65,30.1,1.13439,12.5,"60,627","3,564.90"
"Polk,IA","258,613",43,36.1,1.13371,9.9,"68,479","5,975.00"
"Alexandria,VA","80,425",19,62.1,1.13287,10.1,"99,425","3,008.90"
"Ward,TX","4,034",81,13.6,1.13253,13.9,"53,621","2,550.40"
"King George,VA","14,125",61,34.6,1.13251,6.8,"86,619","1,304.20"
"White,GA","14,697",83,21.4,1.13215,14.1,"51,579","3,815.20"
"Arlington,VA","125,854",18,74.6,1.13162,6.3,"120,950","2,340.80"
"Washington,OR","293,522",33,43.7,1.13158,8.8,"82,819","1,381.80"
"Cache,UT","49,479",68,37.8,1.13144,12.9,"60,315","5,032.40"
"San Benito,CA","22,755",37,19.7,1.13135,8.6,"80,063","2,668.40"
"James City,VA","44,399",47,49.6,1.13098,7,"86,541","1,414.00"
"Palm Beach,FL","771,298",44,35.7,1.13082,12.2,"61,735","4,023.30"
"Tippecanoe,IN","71,755",50,37.7,1.13072,18.1,"52,269","3,789.90"
"Winkler,TX","2,126",83,9.5,1.13056,14.1,"56,781","3,096.10"
"Polk,TX","24,072",78,14,1.12998,15,"46,017","1,923.90"
"Franklin,OH","606,022",35,39.3,1.12910,15.5,"60,383","3,305.10"
"Louisa,VA","21,796",62,23.4,1.12855,11.3,"63,714","1,215.70"
