County + State,Total number of voters,Result,% bachelor's degree 2014-18,Population Change 2010-2019,Percent in Poverty,Estimate Median Household Income,Known Number of Cases per 100k
"Preston,WV","14,508",78,15.4,0.99636,16.2,"47,101","1,211.40"
"Monroe,NY","275,932",46,37.7,0.99623,14.4,"60,240","1,542.80"
"Montour,PA","9,714",61,32.8,0.99612,10.1,"61,314","2,161.30"
"Hartford,CT","30,657",13,37.8,0.99607,11.2,"73,037","2,770.60"
"Rensselaer,NY","65,285",52,30.1,0.99607,11.1,"71,084",889
"Jefferson,KS","9,545",66,21.9,0.99592,7.6,"69,246","3,077.20"
"Petroleum,MT",351,87,29,0.99591,16.2,"41,009","1,026.70"
"McCook,SD","2,900",73,23.4,0.99590,9.6,"59,913","9,631.20"
"Motley,TX",652,93,16.7,0.99585,17.8,"41,009","1,583.30"
"Tyler,TX","13,412",84,12.5,0.99577,18.2,"44,041","1,342.70"
"Sanborn,SD","1,185",78,19.7,0.99575,12.9,"54,874","9,385.70"
"McKinley,NM","25,926",31,11.6,0.99573,32.3,"33,976","7,912.60"
"Arthur,NE",284,92,27.9,0.99570,12.9,"46,862","2,807.80"
"McHenry,IL","156,805",52,33.7,0.99567,5.9,"86,268","3,962.00"
"Freestone,TX","8,678",81,13,0.99566,13.7,"49,317","2,490.20"
"Ouachita,LA","69,148",62,24.3,0.99552,21.3,"44,371","5,693.50"
"Meeker,MN","13,492",71,18.8,0.99541,7.5,"66,557","3,789.50"
"Decatur,TN","5,250",82,12.8,0.99539,18.2,"42,905","7,373.70"
"Pine,MN","15,372",65,14.5,0.99536,12,"50,387","3,458.50"
"West Feliciana,LA","6,268",63,22.2,0.99533,24.4,"60,296","4,971.70"
"Pulaski,MO","14,419",73,25.9,0.99523,15.2,"52,532","2,695.50"
"Wayne,GA","12,758",79,12.9,0.99511,18.6,"44,607","4,497.60"
"Meade,KY","14,048",74,18.2,0.99505,11.4,"57,613","2,054.50"
"Hopewell,VA","5,381",45,13.5,0.99501,19.7,"42,568","2,516.80"
"Grant,MN","3,647",64,19.4,0.99500,9.9,"54,917","3,298.70"
"Liberty,MT","1,083",77,16.6,0.99489,19,"42,742","2,524.60"
"Washington,PA","116,860",62,29.5,0.99484,9,"63,119","1,688.50"
"Mayes,OK","16,619",78,14.6,0.99482,15.5,"50,951","3,231.10"
"Woodford,IL","16,874",71,31.6,0.99478,7.1,"72,247","3,635.00"
"Taos,NM","16,790",23,28,0.99477,21.4,"38,405","1,800.00"
"Henry,AL","9,266",72,18,0.99474,17.9,"46,027","4,783.50"
"Auglaize,OH","25,396",81,18.9,0.99473,6.9,"63,754","4,144.00"
"Trinity,TX","6,938",81,12.8,0.99470,17.7,"40,486","1,535.70"
"St. Louis,MN","118,773",42,28.7,0.99466,14.7,"53,833","3,288.30"
"Green Lake,WI","10,663",68,19.3,0.99464,11,"55,512","6,794.30"
"Lake,CA","11,038",37,15.8,0.99461,18.4,"45,086","1,265.80"
"Brown,TX","15,940",87,19.3,0.99443,13.2,"47,097","2,289.80"
"Marquette,MI","37,553",45,31.5,0.99435,14.1,"54,093","3,587.80"
"Red Lake,MN","2,190",68,16.9,0.99412,10.7,"54,412","3,995.10"
"Midland,MI","49,165",58,34,0.99408,11.3,"58,057","2,928.20"
"Brewster,TX","4,805",52,39.4,0.99406,16,"45,670","4,552.90"
"Isabella,MI","29,409",52,29.2,0.99400,23.4,"47,056","2,865.20"
"Tuscarawas,OH","42,820",70,15.8,0.99399,12.3,"51,030","2,572.10"
"Lawrence,MO","17,930",82,15.3,0.99388,15.5,"45,074","4,541.80"
"Lincoln,GA","4,643",69,13.5,0.99385,17.2,"46,967","3,358.20"
"Kewaunee,WI","12,071",67,19.1,0.99382,7.3,"63,612","7,590.30"
"Van Buren,MI","39,060",56,20.9,0.99380,15.3,"57,363","2,919.00"
"Cleburne,AL","7,210",90,13.7,0.99374,16,"46,495","4,668.00"
"Hutchinson,SD","3,767",79,25.5,0.99373,11.5,"54,434","6,377.70"
"Gray,KS","2,240",84,21,0.99369,7.5,"65,771","6,396.10"
"Effingham,IL","19,041",80,22.5,0.99369,9.7,"60,773","6,666.10"
"Edmonson,KY","5,004",86,10.8,0.99362,17.4,"43,151","2,543.20"
"Allegheny,PA","674,247",41,40.7,0.99354,11.7,"59,881","1,812.70"
"Thomas,GA","21,831",60,23.1,0.99339,20.2,"41,642","3,801.90"
"Pickett,TN","2,922",82,8.7,0.99331,16,"40,182","6,973.10"
"Dolores,CO","1,431",76,21.3,0.99323,12.8,"47,482",340.6
"Page,VA","12,432",76,13.9,0.99323,13.9,"49,073","2,276.00"
"Lapeer,MI","52,639",68,17.8,0.99316,10.1,"65,209","2,091.20"
"Jasper,TX","15,469",81,12.4,0.99307,19.2,"47,551","1,508.60"
"Crenshaw,AL","6,617",74,15.6,0.99301,19.5,"39,057","5,024.70"
"Miller,AR","16,359",74,16.6,0.99300,21.9,"42,162","4,593.50"
"Spink,SD","3,163",68,22.2,0.99299,12.6,"50,590","7,638.00"
"Izard,AR","5,792",81,13.8,0.99293,18.7,"37,828","6,845.70"
"Lincoln,KY","10,901",79,11.1,0.99292,20.6,"42,190","2,122.30"
"Scott,TN","9,052",89,9.4,0.99285,21.2,"35,685","3,820.00"
"Butler,MO","18,165",81,13.8,0.99280,20.5,"38,067","4,451.70"
"Shelby,TX","10,063",80,14.5,0.99277,20.6,"41,961","2,330.50"
"Montgomery,OH","262,560",49,27.4,0.99270,16.9,"51,071","3,179.30"
"Stephens,GA","11,875",80,22.1,0.99265,16.3,"45,850","5,380.90"
"Tattnall,GA","8,175",75,13.2,0.99258,25.6,"41,440","3,919.20"
"Clinton,IL","11,430",83,22.5,0.99257,8.2,"66,597","7,411.70"
"Metcalfe,KY","5,014",80,13.1,0.99251,23.3,"35,906","3,316.50"
"Henry,IA","9,929",66,20.1,0.99244,11,"55,856","8,103.60"
"Brown,IN","8,886",66,27.4,0.99244,10.1,"60,944","1,987.80"
"Jones,TX","6,691",85,11.5,0.99234,22,"43,903","7,907.20"
"Jack,TX","3,779",91,12.6,0.99234,17.7,"48,780","2,361.50"
"Norton,VA","1,593",71,16.9,0.99227,20.8,"34,442","1,632.80"
"Vigo,IN","5,954",73,24.5,0.99212,19.2,"48,335","4,932.80"
"Armstrong,TX","1,112",93,23.2,0.99211,10.7,"57,210","2,013.80"
"Claiborne,TN","12,935",83,15.2,0.99205,23.4,"37,987","2,184.00"
"Sumter,SC","48,787",44,18.5,0.99177,18.7,"45,181","3,728.40"
"Shawnee,KS","83,689",49,30.8,0.99167,13.9,"53,612","3,447.10"
"Sevier,AR","5,202",77,11.5,0.99160,20.1,"44,100","9,525.50"
"Burlington,NJ","178,611",36,37.5,0.99158,6.2,"84,470","2,520.50"
"Marion,WV","25,704",65,23.4,0.99158,16.6,"46,244","1,164.60"
"Polk,WI","26,326",64,20.4,0.99155,9.6,"59,990","3,969.60"
"Lafayette,WI","8,557",57,18.9,0.99155,11.3,"60,711","5,928.60"
"Orange,IN","8,833",74,12.3,0.99152,15.6,"44,968","3,155.90"
"Traill,ND","4,131",63,26.8,0.99149,8.2,"59,931","7,740.20"
"Meagher,MT","1,110",76,26.1,0.99148,15.9,"44,572","5,478.00"
"Polk,MN","15,581",64,24.1,0.99131,12,"60,180","6,214.10"
"Stone,MO","18,378",81,18.4,0.99122,13.4,"46,026","3,311.20"
"Putnam,IN","11,464",73,16.1,0.99122,12.2,"54,718","2,919.40"
"Bourbon,KY","9,634",65,18.9,0.99113,16.5,"48,614","2,385.30"
"Greene,NC","8,715",56,10.5,0.99111,23.5,"43,591","5,277.90"
"Marion,MO","13,370",75,20.9,0.99107,13.5,"49,393","5,429.40"
"Madison,MO","5,671",82,15.1,0.99106,16.6,"40,191","6,088.70"
"Harvey,KS","17,110",60,31,0.99105,10.4,"57,934","4,304.50"
"Crawford,KS","16,185",62,29.5,0.99096,17.7,"43,852","5,219.20"
"Washington,IN","12,126",76,13.2,0.99095,13.4,"44,534","2,211.40"
"Coshocton,OH","16,348",74,12.5,0.99085,15.4,"46,420","1,827.90"
"Beckham,OK","7,933",86,17.3,0.99084,16.3,"47,825","5,196.90"
"Richland,ND","7,757",67,21.6,0.99081,11.6,"61,174","5,996.20"
"Newport News,VA","77,859",34,25.5,0.99081,15.2,"50,283","2,038.80"
"Iowa,IA","9,702",63,19.1,0.99076,7.4,"64,188","4,998.80"
"Carroll,VA","15,502",82,13.1,0.99069,15.7,"41,517","2,705.50"
"Terrebonne,LA","46,240",75,15.8,0.99063,17.3,"51,665","3,836.60"
"Randolph,AL","10,824",80,14.9,0.99063,19.7,"40,546","4,260.20"
"Cook,IL","1,747,696",27,38,0.99062,13.8,"63,347","5,209.20"
"Todd,MN","13,234",75,15.5,0.99060,12.4,"58,113","6,223.60"
"Pike,MO","7,686",77,16.1,0.99058,15.9,"43,591","4,190.80"
"Monroe,MI","87,223",62,19.1,0.99055,10,"62,522","2,695.00"
"Fremont,ID","6,719",84,20.9,0.99047,15.3,"51,155","4,878.20"
"Cumberland,VA","5,277",58,17.5,0.99043,15.7,"46,300","1,399.50"
"Custer,ID","2,737",77,23,0.99036,14.7,"47,682","3,012.70"
"Wadena,MN","7,656",73,13.6,0.99030,14.4,"46,312","4,480.30"
"Oneida,WI","24,159",58,27.1,0.99015,9.4,"53,805","5,871.60"
"New Haven,CT","27,146",19,34.9,0.99004,11.6,"67,720","2,893.60"
"Jackson,MI","81,032",60,21.4,0.99001,13.7,"52,047","2,447.80"
"Dodge,WI","48,497",66,16.5,0.98998,8.9,"63,608","8,808.20"
"Martin,IN","5,155",80,13.4,0.98996,11.8,"55,444","3,130.20"
"Jim Wells,TX","12,262",58,12.7,0.98993,21.2,"41,919","4,639.10"
"Caldwell,NC","42,438",76,15.3,0.98983,15.9,"43,328","3,847.70"
"Barbour,WV","6,634",78,16.6,0.98983,20,"39,776","1,812.50"
"McDonald,MO","9,051",84,11.8,0.98981,17.9,"40,204","5,867.70"
"Boone,IL","17,859",85,23.2,0.98970,9.2,"74,507","6,284.60"
"Rutherford,NC","34,076",73,17.3,0.98950,19.1,"42,831","3,150.90"
"Highland,OH","19,303",80,12.6,0.98945,15.4,"49,161","1,888.30"
"Hickory,MO","5,080",79,10,0.98943,17.8,"35,025","3,593.90"
"Chase,NE","1,967",88,20.8,0.98941,9.5,"54,866","6,141.70"
"Dent,MO","7,142",85,14.6,0.98939,20.3,"39,392","2,741.90"
"Howell,MO","18,637",82,16.5,0.98927,21.3,"36,762","3,736.60"
"Mifflin,PA","20,738",79,12.5,0.98922,15.1,"47,648","2,462.20"
"Lake,IL","254,827",43,45,0.98916,8,"87,336","4,712.60"
"Adair,MO","10,337",63,30,0.98900,23.9,"40,395","3,851.20"
"Portsmouth,VA","43,931",30,21.3,0.98897,19.2,"47,343","3,219.30"
"Todd,KY","5,351",77,12.9,0.98890,17.1,"51,027","2,985.20"
"Marshall,MN","5,093",74,19,0.98888,8.2,"58,105","3,856.00"
"Penobscot,ME",851,38,27.1,0.98887,14.7,"47,840",393
"Luzerne,PA","149,103",58,23.2,0.98884,14.3,"53,469","2,437.20"
"Marshall,KY","17,528",77,18.8,0.98884,12.1,"52,388","2,559.50"
"Peach,GA","12,436",53,19.4,0.98884,24,"46,525","3,212.80"
"Jackson,KY","6,116",90,12.2,0.98880,26.5,"35,317","4,509.00"
"McCurtain,OK","11,458",84,13.2,0.98880,21.1,"37,390","6,347.50"
"Osage,OK","20,520",70,17.6,0.98874,15.1,"48,826","3,724.20"
"Holmes,FL","9,072",90,10.3,0.98861,23.9,"38,040","5,413.70"
"Ford,KS","13,198",75,17.6,0.98856,11.6,"56,052","12,897.50"
"Taylor,WV","7,334",75,17.2,0.98851,16.1,"46,370","1,407.60"
"Custer,NE","5,877",86,20.9,0.98826,12,"49,995","3,674.50"
"Bradford,FL","13,650",77,10.6,0.98826,19.5,"45,075","4,765.80"
"Dutchess,NY","115,015",52,35.2,0.98821,9.2,"79,604","2,188.50"
"Fulton,OH","22,299",70,17.2,0.98820,7.9,"62,800","2,402.30"
"Suffolk,NY","597,934",57,35.6,0.98813,7.3,"100,075","3,719.10"
"Haskell,OK","5,006",84,14.7,0.98811,23.3,"37,776","4,632.90"
"Lenawee,MI","53,448",60,20.9,0.98807,10.4,"55,762","1,957.30"
"Mendocino,CA","25,171",26,24.7,0.98804,17.5,"51,386","1,577.00"
"Gibson,TN","22,336",74,17.8,0.98798,16.5,"42,720","5,843.30"
"Franklin,AL","12,564",83,12.9,0.98790,19.2,"39,388","7,588.80"
"Crawford,IN","4,774",72,11.4,0.98777,15.8,"44,152","2,373.10"
"Harlan,NE","1,928",85,21.4,0.98773,11.1,"49,321","3,343.20"
"Wilkes,NC","35,197",79,15.5,0.98770,18.9,"44,080","3,477.50"
"Scott,IN","10,176",73,11.9,0.98767,15.5,"44,913","3,698.70"
"Merrick,NE","4,267",82,17.4,0.98765,10.7,"56,493","4,887.20"
"Woods,OK","3,673",83,30.6,0.98764,15.2,"51,715","4,571.80"
"Perry,IN","8,734",63,14.9,0.98763,12.4,"52,332","4,095.20"
"Barron,WI","25,333",63,19.9,0.98756,12.3,"50,344","6,785.40"
"Dearborn,IN","14,815",85,21.6,0.98752,9.4,"66,502","3,833.60"
"Bleckley,GA","5,704",77,17.2,0.98750,18.7,"46,019","4,179.30"
"Eastland,TX","8,271",88,13.3,0.98742,18.7,"44,773","1,802.80"
"Stark,OH","185,714",59,22.8,0.98730,14.4,"52,310","1,823.00"
"Pawnee,OK","6,774",79,16.1,0.98716,14.7,"46,949","2,931.10"
"Ste. Genevieve,MO","9,495",71,17.7,0.98715,9.8,"59,043","5,079.90"
"Conejos,CO","4,291",54,20.2,0.98713,21.4,"38,777","1,694.10"
"San Saba,TX","2,602",89,14.4,0.98712,16.8,"43,827","4,805.90"
"Craig,VA","3,146",81,18.5,0.98711,11.9,"50,858","1,461.70"
"Tuolumne,CA","26,861",58,20,0.98710,12.5,"56,500","1,239.00"
"Panola,MS","10,843",54,14.9,0.98707,21.8,"39,198","5,907.80"
"Anderson,TX","19,155",79,11.7,0.98704,19.8,"45,969","5,371.10"
"Benton,IN","4,115",75,16.9,0.98702,11.5,"51,649","3,337.90"
"Franklin,IN","12,018",82,19.8,0.98695,8.6,"62,251","2,649.60"
"Finney,KS","11,404",63,17.1,0.98687,13.2,"56,206","11,810.70"
"Newport,RI","10,254",26,47.9,0.98685,8.1,"77,760","1,274.30"
"Montgomery,AL","98,476",35,32.1,0.98685,20.1,"49,640","5,226.40"
"Calhoun,MI","65,568",56,21.2,0.98682,17.3,"48,413","3,867.10"
"Washburn,WI","10,371",62,22.3,0.98682,12.5,"50,482","3,492.40"
"Camden,NJ","147,973",28,31.8,0.98674,12.9,"67,135","3,125.50"
"Scurry,TX","5,865",86,16.5,0.98671,15.8,"53,059","8,675.10"
"Lyon,KS","13,616",56,27.3,0.98654,16.1,"47,982","6,380.50"
"Barnstable,MA","27,051",41,42.8,0.98653,8,"69,001","1,258.70"
"Putnam,NY","43,661",60,39.9,0.98648,6,"100,887","2,345.40"
"Avery,NC","9,339",77,20.6,0.98640,16.8,"41,701","4,670.50"
"Sullivan,NH",412,46.5,26.8,0.98631,11.2,"60,034",424.1
"Howard,MO","5,089",71,24.4,0.98619,13.1,"45,767","4,219.60"
"Wheatland,MT",514,79.5,19.8,0.98609,19,"38,449","4,421.40"
"Mahaska,IA","11,346",74,22.3,0.98603,12.4,"56,492","5,069.00"
"Van Wert,OH","14,767",79,16.2,0.98595,8.4,"54,331","2,390.80"
"Sabine,LA","10,596",83,13.1,0.98588,23.1,"36,423","5,396.90"
"Cass,TX","13,856",80,16.4,0.98585,20.4,"44,154","2,377.90"
"McNairy,TN","11,267",82,12.7,0.98573,17.4,"39,859","5,269.70"
"Lyon,KY","4,227",74,15.9,0.98571,14.5,"48,395","2,021.90"
"Lyon,MN","12,877",63,25.4,0.98549,12.1,"57,690","6,681.30"
"Roane,TN","25,914",76,19.5,0.98547,14.8,"54,440","3,926.40"
"Crawford,GA","6,089",73,10.3,0.98546,18.5,"48,004","1,733.30"
"Pleasants,WV","3,467",80,12.9,0.98534,13.6,"50,768",871.3
"Johnson,IL","6,442",80,16.5,0.98516,12.2,"53,884","4,936.80"
"Windham,CT","8,320",35,24.1,0.98514,11.7,"65,182","1,813.60"
"Fallon,MT","1,575",88,17.3,0.98512,9.2,"62,029","7,027.40"
"Onondaga,NY","176,798",46,35.5,0.98502,13.7,"59,786","1,844.40"
"Logan,CO","10,411",78,20.5,0.98501,14.5,"53,168","8,492.10"
"Starke,IN","10,309",74,10.8,0.98501,11,"49,972","3,596.40"
"Toombs,GA","10,903",73,15.8,0.98480,24.9,"37,148","5,956.00"
"Lipscomb,TX","1,351",90,19.5,0.98477,12,"57,332","3,742.70"
"Hardin,TN","11,534",84,13.9,0.98472,20.3,"37,690","6,521.90"
"Shelby,OH","24,785",82,17.4,0.98462,9,"63,398","3,152.90"
"Taylor,WI","10,683",73,14.7,0.98461,10.3,"56,981","5,225.40"
"Benton,IA","14,627",64,22.6,0.98460,7.9,"62,799","5,697.00"
"Pierce,NE","4,006",87,22.3,0.98457,9.8,"57,367","5,204.30"
"Grady,GA","10,689",66,14.1,0.98449,20,"41,002","3,641.50"
"Nash,NC","51,826",50,20.9,0.98447,14.2,"50,122","4,351.10"
"Madison,IN","51,711",62,18,0.98442,17,"49,522","3,328.70"
"Mathews,VA","5,817",68,28,0.98440,9.3,"61,764","1,709.30"
"Sangamon,IL","104,395",52,34.2,0.98434,13.1,"62,242","4,302.60"
"Goshen,WY","6,241",80,24.5,0.98428,12.9,"51,676","3,686.30"
"Marshall,IN","19,934",71,20.5,0.98421,11.5,"55,766","5,828.20"
"Ware,GA","14,248",70,13.9,0.98419,23.6,"38,357","5,210.70"
"Knox,TX","1,456",82,19.6,0.98415,20.4,"39,726","3,165.90"
"Lawrence,IN","21,071",75,15.5,0.98412,12.5,"53,187","3,546.40"
"Phelps,MO","19,531",70,29.5,0.98408,18.1,"43,079","3,250.80"
"Garfield,WA","1,353",73,25.2,0.98408,13.8,"50,185","2,337.10"
"Brooks,TX","2,484",41,17.6,0.98405,31,"30,116","5,413.80"
"Rapides,LA","58,861",66,20.5,0.98397,19.4,"48,116","4,492.90"
"Clinton,PA","17,321",68,19,0.98393,12.3,"50,999","1,211.40"
"Huntington,IN","17,809",75,19,0.98392,10.1,"53,809","2,806.70"
"Noble,OH","6,221",81,10.3,0.98390,18.1,"48,792","3,341.70"
"Monroe,MO","4,469",79,12.8,0.98384,13.6,"46,216","3,771.40"
"Carroll,KY","4,126",72,8.8,0.98381,15.6,"47,623","2,690.20"
"Phelps,NE","4,979",84,25.9,0.98377,9.5,"59,003","5,269.00"
"Deer Lodge,MT","4,888",46,17.4,0.98375,15.9,"45,641","6,914.70"
"Carbon,PA","27,555",73,16.8,0.98366,11.9,"53,901","1,525.30"
"St. Landry,LA","41,149",57,14.2,0.98358,32.7,"36,624","5,463.70"
"Tolland,CT","9,257",44,41.2,0.98357,8,"89,584","1,707.10"
"Jim Hogg,TX","2,034",41,12.3,0.98354,25.2,"36,176","3,750.00"
"Evangeline,LA","15,412",73,12.8,0.98348,27.3,"34,113","5,072.60"
"Haakon,SD","1,137",91,15.1,0.98343,11,"51,801","6,898.40"
"Carter,TN","24,868",81,16.8,0.98342,19.1,"39,202","4,303.90"
"Vance,NC","20,948",41,12.9,0.98335,26.3,"40,263","3,401.80"
"Franklin,MA","19,667",38,37.2,0.98334,10.6,"58,992",862.1
"Wabaunsee,KS","3,859",74,23.3,0.98326,8.1,"59,744","3,837.80"
"Posey,IN","13,264",71,20.7,0.98322,9.2,"68,162","4,357.60"
"Sherman,KS","2,669",85,19.1,0.98322,13.7,"45,966","6,270.10"
"Irwin,GA","4,164",76,14.3,0.98319,24.3,"38,156","4,141.90"
"Chaves,NM","22,431",71,17.8,0.98319,18.9,"43,527","5,514.20"
"Fayette,OH","12,305",76,16.1,0.98315,15.1,"47,733","2,643.30"
"Johnson,WY","4,914",81,28.8,0.98312,10.3,"57,676","2,782.70"
"Franklin,ME",861,54.5,25.4,0.98307,14.5,"49,561",619.2
"Bollinger,MO","5,981",87,9.4,0.98307,15.6,"44,233","6,107.30"
"Franklin,KS","12,143",70,19.5,0.98303,9.3,"58,033","3,597.70"
"Clinton,MO","10,894",73,19.4,0.98298,9,"58,641","3,924.10"
"Bibb,GA","70,623",38,25.7,0.98296,24.7,"41,390","4,634.40"
"Ripley,IN","14,278",80,18.1,0.98296,11.1,"57,436","3,848.30"
"Roscommon,MI","15,018",65,14.9,0.98269,17.1,"38,613","1,831.90"
"Beaufort,NC","26,164",63,19.4,0.98269,18.1,"46,411","3,366.40"
"Essex,VA","6,157",50,16.5,0.98268,13.7,"50,785","2,017.70"
"Laurens,GA","22,388",65,15.6,0.98268,24.6,"42,114","4,524.00"
"Rappahannock,VA","4,926",58,32.9,0.98267,8.7,"71,035","1,017.60"
"Hamilton,FL","5,832",66,9.3,0.98263,27.6,"36,299","6,598.30"
"Newton,IN","6,606",76,11.2,0.98251,10.3,"53,060","3,639.90"
"Sheridan,MT","1,978",71,23.6,0.98248,10.9,"51,690","6,769.40"
"Conway,AR","8,641",68,16,0.98242,17.9,"44,565","2,657.60"
"Baldwin,GA","18,205",49,20.9,0.98219,23.8,"42,727","5,457.80"
"Roger Mills,OK","1,831",90,18.5,0.98218,13.9,"53,871","3,432.90"
"Putnam,OH","19,671",83,20.3,0.98216,5.5,"64,304","5,862.20"
"Yates,NY","8,817",64,24.4,0.98175,12.7,"51,089",883.1
"Monroe,WV","6,417",79,13.8,0.98173,14.9,"38,171","2,335.20"
"Ross,OH","32,531",68,16.6,0.98166,18.4,"49,385","2,723.50"
"Wayne,TN","6,667",88,11.2,0.98163,21.3,"38,879","10,490.00"
"Powell,MT","3,187",75,21,0.98162,18.1,"48,966","5,703.90"
"Talbot,MD","19,029",52,38.6,0.98157,9.2,"64,245","1,952.60"
"Huntingdon,PA","22,657",76,16.9,0.98152,13.7,"49,019","3,236.30"
"Winona,MN","26,997",50,29.8,0.98151,13,"56,076","4,476.70"
"Monmouth,NJ","212,780",46,44.9,0.98150,6.7,"99,223","2,864.40"
"Grundy,IA","7,245",69,28,0.98147,6.8,"65,060","5,820.80"
"Washington,MO","9,972",82,9.4,0.98131,21.7,"38,591","5,078.90"
"Gooding,ID","6,050",78,15.2,0.98113,13.7,"51,302","5,751.40"
"Geneva,AL","12,538",87,11.1,0.98110,21.3,"37,823","4,320.40"
"Washington,LA","19,513",69,11.7,0.98099,24.6,"36,850","4,537.40"
"McLeod,MN","20,909",68,17.9,0.98098,7.1,"61,959","4,287.70"
"Hardy,WV","6,287",78,14.5,0.98092,12.9,"43,573","1,284.80"
"Mills,TX","2,502",89,18.2,0.98088,14.6,"47,068","2,380.50"
"Buchanan,MO","36,713",63,20.7,0.98082,15.6,"52,506","4,687.30"
"Mitchell,IA","5,797",64,17.7,0.98082,9.2,"59,558","6,253.50"
"Thomas,KS","5,422",88,25.5,0.98071,9.9,"55,345","7,676.50"
"Santa Cruz,AZ","18,137",32,21,0.98066,24.4,"40,545","7,331.50"
"Okfuskee,OK","4,019",77,11.6,0.98062,26.1,"37,545","7,245.90"
"Wythe,VA","14,992",79,18.5,0.98058,15.4,"46,345","1,785.00"
"Washington,VT",609,48,41.5,0.98051,10.8,"61,808",804.7
"Craven,NC","52,675",60,25.7,0.98049,14.9,"50,748","2,752.10"
"Parke,IN","7,020",78,12.2,0.98043,15.7,"49,639","2,887.20"
"Clinton,NY","27,471",53,22.9,0.98038,13.2,"55,517",493.3
"Lake,MN","7,196",48,29.8,0.98038,8.6,"61,015","2,678.30"
"Union,FL","6,247",83,8.3,0.98038,20.6,"45,906","7,882.10"
"Jackson,IA","11,110",63,18.8,0.98028,11.1,"54,663","6,543.50"
"Pasquotank,NC","19,512",50,20.5,0.98026,18.2,"46,355","2,538.70"
"Henry,MO","10,776",75,15.5,0.98024,16.8,"44,978","4,275.10"
"Gregory,SD","2,259",79,20.5,0.98009,16.5,"40,583","9,247.30"
"Yadkin,NC","19,794",81,11.3,0.98007,13,"49,070","3,499.10"
"Osage,KS","7,883",72,18.6,0.98003,12.5,"53,864","2,445.30"
"Wapello,IA","15,607",62,18,0.98002,14.7,"48,226","6,414.30"
"Aitkin,MN","10,005",64,17.4,0.98001,13.7,"44,016","3,544.00"
"Montgomery,NC","12,779",66,14.7,0.97995,16.7,"47,757","4,832.00"
"Covington,AL","17,418",84,14.9,0.97990,19.9,"40,203","5,616.90"
"Buena Vista,VA","2,812",69,15.9,0.97988,15.2,"43,390","3,149.10"
"McPherson,KS","13,482",71,29,0.97988,10.5,"58,017","4,029.20"
"Candler,GA","4,419",71,14.1,0.97986,24.6,"35,841","5,257.80"
"Lafayette,MO","17,083",73,20.1,0.97984,11,"53,389","4,069.30"
"Ottawa,OH","23,525",62,22.4,0.97984,9.5,"58,345","2,354.10"
"Caldwell,KY","6,436",77,15.3,0.97978,18,"43,659","3,538.10"
"Daviess,MO","3,884",80,18.1,0.97976,14.9,"51,255","3,636.10"
"LaMoure,ND","2,206",75,24,0.97966,11.4,"54,514","7,933.80"
"Crawford,IA","7,125",69,12.8,0.97962,12.3,"54,828","9,780.00"
"Stutsman,ND","9,939",72,23.5,0.97951,11.4,"57,002","11,080.00"
"Marion,OH","27,126",69,13.1,0.97946,16.5,"45,419","6,377.00"
"Chesterfield,SC","18,854",60,10.1,0.97932,20.9,"39,046","3,662.70"
"Russell,KS","3,436",82,25.9,0.97929,13.7,"45,879","6,242.70"
"Gove,KS","1,433",88,22.7,0.97920,11.4,"49,626","9,863.40"
"Bibb,AL","9,573",79,11.5,0.97919,21.8,"46,064","4,514.60"
"Osage,MO","7,449",86,18.9,0.97914,9.2,"58,855","6,169.70"
"Etowah,AL","47,460",75,17.7,0.97903,17.5,"44,903","5,524.70"
"Cheyenne,KS","1,380",84,26.3,0.97900,12.4,"43,274","7,113.30"
"Northumberland,VA","7,765",58,28.5,0.97896,14.8,"55,418","2,025.60"
"Lake,IN","211,262",43,22.1,0.97892,15.7,"55,280","5,060.60"
"Hampton,VA","64,644",29,26.8,0.97886,15.4,"54,763","1,844.50"
"Liberty,GA","21,326",38,18.3,0.97881,16.1,"47,685","2,304.90"
"Ray,MO","11,654",73,13.9,0.97878,9.9,"58,693","2,615.30"
"Benton,TN","7,250",79,12.6,0.97874,19.2,"38,940","4,443.10"
"Berrien,MI","82,404",54,27.7,0.97872,15.3,"51,509","3,425.00"
"Lincoln,MS","14,247",72,16,0.97871,19.1,"43,478","5,112.30"
"Greeley,KS",628,86.5,29,0.97855,11.3,"51,606","6,412.30"
"Bailey,TX","1,854",78,17.7,0.97847,15.8,"45,051","6,214.30"
"Clinch,GA","2,860",74,11.1,0.97842,25.8,"37,593","7,283.20"
"Montgomery,NY","17,615",67,17.5,0.97841,15.8,"43,799",735.5
"Jackson,KS","6,458",70,21.3,0.97838,10.5,"56,330","4,092.30"
"Grundy,TN","5,844",83,12.1,0.97829,21.2,"36,317","5,317.60"
"Huron,OH","26,628",71,13.6,0.97827,11.1,"55,202","1,968.60"
"Union,IA","6,163",66,17.2,0.97826,13.4,"49,887","4,999.60"
"Pendleton,KY","6,923",81,11.3,0.97821,15.5,"54,583","1,788.90"
"Piatt,IL","9,791",65,27.9,0.97816,7.3,"67,460","4,001.50"
"Keya Paha,NE",529,90.5,22.9,0.97816,18.3,"48,429","2,109.20"
"Williams,OH","18,290",73,15,0.97814,9.7,"54,581","2,275.70"
"St. Clair,MI","92,062",65,18.3,0.97811,13.8,"56,557","2,114.00"
"Campbell,TN","14,929",83,11.9,0.97808,21.6,"39,443","3,471.20"
